iter	Passed	Remaining
438	1559	1992
439	1561	1986
440	1567	1987
441	1573	1986
442	1576	1981
443	1584	1984
444	1590	1984
445	1601	1989
446	1605	1986
447	1607	1981
448	1616	1983
449	1618	1978
450	1620	1972
451	1621	1966
452	1626	1964
453	1630	1961
454	1632	1955
455	1634	1949
456	1636	1944
457	1637	1938
458	1643	1937
459	1646	1932
460	1648	1927
461	1650	1921
462	1652	1916
463	1655	1912
464	1660	1910
465	1662	1905
466	1665	1900
467	1667	1895
468	1669	1890
469	1673	1886
470	1675	1881
471	1678	1877
472	1680	1871
473	1685	1870
474	1690	1868
475	1693	1863
476	1695	1858
477	1697	1853
478	1708	1857
479	1710	1853
480	1713	1848
481	1721	1850
482	1724	1846
483	1727	1841
484	1729	1836
485	1741	1842
486	1744	1837
487	1754	1841
488	1758	1837
489	1761	1833
490	1770	1835
491	1775	1832
492	1777	1827
493	1786	1829
494	1788	1824
495	1792	1821
496	1798	1819
497	1802	1816
498	1806	1813
499	1808	1808
500	1813	1806
501	1815	1801
502	1818	1796
503	1829	1800
504	1832	1796
505	1837	1793
506	1843	1792
507	1848	1789
508	1853	1788
509	1859	1786
510	1862	1782
511	1864	1777
512	1877	1782
513	1880	1777
514	1890	1780
515	1892	1774
516	1896	1771
517	1903	1771
518	1907	1767
519	1910	1763
520	1918	1764
521	1922	1760
522	1924	1754
523	1926	1750
524	1934	1749
525	1938	1746
526	1940	1741
527	1942	1736
528	1952	1738
529	1955	1733
530	1957	1729
531	1959	1723
532	1969	1726
533	1972	1721
534	1974	1715
535	1981	1714
536	1985	1712
537	2000	1717
538	2002	1712
539	2004	1707
540	2009	1704
541	2015	1703
542	2018	1698
543	2020	1693
544	2028	1693
545	2032	1690
546	2034	1685
547	2036	1680
548	2042	1677
549	2048	1676
550	2053	1673
551	2056	1668
552	2065	1669
553	2068	1665
554	2070	1660
555	2072	1655
556	2084	1657
557	2092	1657
558	2098	1655
559	2100	1650
560	2111	1652
561	2116	1649
562	2118	1644
563	2131	1647
564	2133	1642
565	2136	1637
566	2144	1637
567	2147	1632
568	2149	1628
569	2152	1623
570	2160	1623
571	2163	1618
572	2169	1616
573	2175	1614
574	2179	1611
575	2190	1612
576	2193	1608
577	2207	1611
578	2211	1608
579	2224	1610
580	2227	1606
581	2241	1610
582	2244	1605
583	2253	1604
584	2257	1601
585	2268	1602
586	2276	1601
587	2288	1603
588	2290	1598
589	2292	1593
590	2300	1592
591	2303	1587
592	2306	1583
593	2317	1584
594	2321	1580
595	2331	1580
596	2339	1579
597	2347	1577
598	2350	1573
599	2352	1568
600	2354	1563
601	2356	1557
602	2365	1557
603	2368	1552
604	2370	1547
605	2380	1547
606	2384	1543
607	2399	1546
608	2401	1541
609	2403	1536
